speech,class
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"Then we must castrate even Italians who rape, who are in fact four times more than foreigners according to statistics.",1
"The Arabs do not want to impose their religion. Did you see any Muslim in Italy trying to impose his religion on anyone? If so, where? Explain his theory. The boats are controlled by human traffickers, so you would like that trafficking of human beings was used to bring them back to their homeland?",1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
"Freedom of thought, conscience and religion means that you have the right to profess your beliefs, not to impose it on others with symbols introduced in schools.",1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
The idea of,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"They want to conquer the world, we have to defend Italy by blowing them up before they blow us up.",0
"The number of Muslims who have committed certain massacres is insignificant compared to the total number of people living in our cities. Generalizing is always wrong, while condemning the individual crimes.",1
Saying 'Arabs' is a generalization and does not indicate a religion.,1
I do not share your statement. Muslim migrants arriving in Italy seek help because they are the first to be persecuted by the true fanatics in their home countries.,1
What has sharia that does not convince you?,1
"I do not think anyone must adapt to the culture of anyone. Rather, I think that everyone should have the right to live as they prefer and profess their faith freely, as long as respecting the life and religions of people.",1
"We have hundreds of muslims workers that are very quiet in Italy, are they all dormant terrorists?",1
"They began to build mosques everywhere, and so they compete with our churches.",0
Muslims hate Christians. They want to kill all of us.,0
The Muslim religion does not plan to rape women.,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
A real Islamic invasion is taking place.,0
"Hi, I still think that in these cases, religion or nationality have nothing to do with it. Those who commit these acts should be treated as criminals regardless of any other aspect.",1
Don't you believe in the work of our intelligence?,1
How many mosques have you seen in your neighbourhood?,1
"It does not seem correct to me to generalize. If some Arabs are terrorists, that does not mean they all are. Some Italian men kill their partners/wives, does this mean that we are a nation of uxoricides?",1
Muslims rape our women and must be neutered.,0
"In the UK there were in 2018 71,000 incidents of violence against Muslims. Perhaps there are more Christians who hate Muslims, don't you think?",1
The beasts.,0
"You accuse them of terrorism and of wanting to conquer with violence and bombs, and then propose yourself violence and bombs . I do not think this will lead to something positive.",1
"In countries like France at school it is forbidden any religious symbol, from the crucifix to the islamic veil.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"There is a growing climate of fear against the Islamic foreigners. Actually foreigners resident in Italy who profess the Orthodox Christian religion are the majority (nearly two million), followed by Muslims (less than a million and a half).",1
"But who? It seems to me that, like many others, they simply want to express their faith freely.",1
"The beasts are able to accommodate their own kind in their communities, if you were at least bestial, you probably would have a greater ability to live together.",1
"In the Quran, there is no sura ordering Muslims to kill people who do not believe in Allah. There is also a chapter which enunciates a principle of religious tolerance.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
Do you know by chance the anti-terrorism or prevention of radicalization policies? It's the West that creates the best conditions for the proliferation of extremism.,1
Arab countries have always condemned terrorist acts.,1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"Do you say that what leads to acts of terrorism is the country of origin? So, if you are born in Egypt you have smoothed the career?",1
"Living together starting from different roots and the cultural precondition is possible and it will be increasingly frequent and daily, but not easy, we must learn both us and them.",1
Muslims always lie and take advantage of everything.,0
So when there were mafia attacks all the southern people were mobsters?,1
